指標	數值
title	P12系列
首銷目標	19456
已達成	15600
落後時間進度	16.8
上代同期	15600
YOY	85.8
時間進度	97.0
首銷日期	2026-05-29
報告日期	2026-06-29
DAY	32
產品佔比	61% : 39%
上代佔比	75% : 25%

日期	SO	上代SO
5/29	749	868
5/30	1400	1665
5/31	1650	1900
6/1	1450	1713
6/2	1100	1400
6/3	1200	1400
6/4	650	1280
6/5	500	1360
6/6	1000	1500
6/7	800	1350

產品	目標	已達成	YOY
P12U	11674	9530	60.9
P12A	7782	6070	31.7

渠道	目標	已達成	YOY
米網	2608	2092	80.2
米店	4472	3461	77.4
運營商	7266	6100	83.9
KA	4238	3332	78.6
GC&澳門	872	615	70.5

配置	本代	上代
12+256	24.8	10.8
12+512	37.2	38.7
16+512	29.6	37.5
16+1T	8.4	13.0

顏色	本代	上代
白色	33.9	26.9
灰色	27.7	23.0
綠色	16.0	20.2
紫色	11.0	15.2
黑色	8.5	14.7
